Date,Open,High,Low,Close,SSC,plot_dowPeak,plot_dowTrough,last_dow_profit,ATR20,LDV4,LWV4,MVF
19/10/2020,23895,24409.8,23786,24346.7,nan,nan,21141.2,289.15,663.55,0,0,2.30278
16/10/2020,23201.2,23717,23183,23584.2,nan,nan,21141.2,289.15,657.85,0,0,1.70135
15/10/2020,23970,24140,22995.5,23110.3,22995.5,nan,21141.2,289.15,646.1,0,0,0.496748
14/10/2020,23369.1,24023,23212,23951,nan,nan,21141.2,289.15,612.25,1,0,3.08567
13/10/2020,23699,23840,23450,23562.2,nan,nan,21141.2,289.15,597.35,0,0,0.476186
12/10/2020,23935.4,24217,23588.4,23767,24217,nan,21141.2,289.15,613.65,0,0,0.751253
9/10/2020,23251,23965,23151,23903.2,nan,nan,21141.2,289.15,604.7,0,0,3.14666
8/10/2020,23180,23480,23060,23184.7,nan,nan,21141.2,289.15,587.6,0,0,0.537855
7/10/2020,22850,23109,22656.9,23018.9,nan,nan,21141.2,289.15,595.55,0,0,1.57241
6/10/2020,22723,22940.1,22542.8,22913.8,nan,nan,21141.2,289.15,594.8,0,0,1.61911
5/10/2020,22319.5,22840,22267.5,22425.2,nan,nan,21141.2,289.15,589.3,0,0,3.03047
1/10/2020,21676,22367.2,21665,22316,nan,21839.8,21141.2,289.15,595.35,0,0,5.91337
30/09/2020,21423.2,21580.6,21141.2,21464.2,21141.2,22748,nan,129.05,581.55,0,0,10.2178
29/09/2020,21763,21839.8,21312.7,21450.2,21839.8,22748,nan,129.05,583.25,0,0,10.9038
28/09/2020,21100.1,21765.9,21050,21724.5,nan,22748,nan,129.05,591.5,0,0,12.0018
25/09/2020,20710,21089,20431,20979.2,20431,22748,nan,129.05,647.1,0,0,14.5895
24/09/2020,20931.2,20979.8,20442.5,20488.9,nan,22748,nan,129.05,667.05,0,0,16.695
23/09/2020,21350.9,21383.7,20830,21240.4,nan,22748,nan,129.05,642.6,0,0,15.1159
22/09/2020,21389,21516.7,20967.5,21183.7,nan,22748,nan,129.05,634,0,0,14.5556
21/09/2020,22025,22125,21290,21390.9,nan,22748,nan,129.05,623.75,0,0,13.2414
18/09/2020,22391.4,22520,21808.1,22078.4,nan,22820.5,nan,129.05,615.1,1,0,11.1301
17/09/2020,22340,22560,22300,22392,nan,22820.5,nan,129.05,600.2,1,0,0.410415
16/09/2020,22538,22748,22280,22671.3,22748,22820.5,nan,129.05,608.7,1,0,1.72597
15/09/2020,22195,22597,22084,22558.5,22084,22725,nan,129.05,598.7,1,0,2.10298
14/09/2020,22664.4,22820.5,22105,22190.2,22820.5,22725,22129,129.05,605.35,1,0,0.906878
11/09/2020,22450.5,22676,22226,22539,22226,nan,22129,-369.85,596.15,1,0,1.38849
10/09/2020,22485,22725,22253.5,22506.6,22725,nan,21765.3,-369.85,617.75,0,0,1.12478
9/09/2020,22500,22575,22129,22337.2,22129,nan,21765.3,-369.85,610.25,0,0,0.932523
8/09/2020,22900,23093,22655,22748.9,nan,nan,21765.3,-369.85,598.45,0,0,0.412548
7/09/2020,23016.4,23125.9,22721,22963.5,nan,nan,21765.3,-369.85,598.8,0,0,1.05581
4/09/2020,23300,23440,22853.9,23026.7,nan,nan,21765.3,-369.85,594.95,0,0,0.750218
3/09/2020,23938.8,24079.8,23453,23547.2,nan,nan,21765.3,-369.85,580.25,1,0,0.40026
2/09/2020,23855,23974,23500.9,23921,nan,nan,21765.3,-369.85,578.85,0,0,1.75599
1/09/2020,23850,24200,23508,23915.5,nan,nan,21765.3,-369.85,582,0,0,1.70412
31/08/2020,24900,25270,23371,23743,25270,nan,21765.3,-369.85,573.75,0,0,1.56678
28/08/2020,23679.9,24658.7,23601.5,24539.4,nan,nan,21765.3,-369.85,509.1,0,0,3.82182
27/08/2020,23490,23716.2,23473.5,23611.4,nan,nan,21765.3,-369.85,477.6,0,1,0.58404
26/08/2020,23150,23451.8,23070,23407.2,nan,nan,21765.3,-369.85,497,0,1,1.44037
25/08/2020,22965,23168.7,22825,23078.2,nan,nan,21765.3,-369.85,501.75,0,1,1.09693
24/08/2020,22327.2,22944.9,22327.2,22826.4,nan,nan,21765.3,-369.85,518.4,0,1,2.18694
21/08/2020,22155.5,22378,22118,22282.8,nan,nan,21394,-369.85,526.7,1,1,0.73936
20/08/2020,22022,22090,21765.3,21964.2,21765.3,nan,21394,-369.85,544.75,0,1,3.74149
19/08/2020,22293,22466.2,22212.7,22307.3,22466.2,nan,21394,-369.85,539.45,0,1,3.82135
18/08/2020,21745,22273,21627.2,22198.2,nan,nan,21370,-369.85,554.8,1,1,6.3565
17/08/2020,21900,21925,21394,21734,21394,nan,21370,-369.85,553.15,0,1,6.23144
14/08/2020,22300.1,22318,21436,21668.8,nan,nan,21370,-369.85,551.75,0,1,6.04736
13/08/2020,22401,22444,22122.5,22189.5,22444,nan,21370,-369.85,538.7,1,1,0.301945
12/08/2020,22122.4,22385,22000.6,22316.3,nan,nan,21370,-369.85,553.75,1,1,1.41466
11/08/2020,21900,22345,21900,22296.4,nan,nan,21370,-369.85,570.95,0,1,1.77765
10/08/2020,21851,22099,21802,21956.4,nan,21999.9,21370,-369.85,596.8,1,1,0.702986
7/08/2020,21600,21835,21435.5,21771.4,nan,21999.9,nan,-1494.9,612.2,1,1,3.33287
6/08/2020,21685,21969,21370,21642,21370,22440,nan,-1494.9,621.4,1,1,4.75066
5/08/2020,21699,21999.9,21464,21559,21999.9,22440,nan,-1494.9,609.9,1,1,6.30367
4/08/2020,21300,21633,21106,21551.9,nan,22440,nan,-1494.9,612.35,1,1,7.86643
3/08/2020,21480,21549.7,21085.4,21165.9,21085.4,22440,nan,-1494.9,618.8,0,1,7.95679
31/07/2020,21647.9,21827.6,21400.7,21691.5,nan,22440,nan,-1494.9,618.45,1,1,6.58042
30/07/2020,22090,22259.8,21562.2,21654.8,nan,22440,21630,-1494.9,617.75,1,1,5.87521
29/07/2020,22087,22440,21964.2,22129.6,22440,nan,21025,-1368.25,606,0,1,0.747641
28/07/2020,21921.5,22307,21630,22176.5,21630,nan,21025,-1368.25,625.15,0,1,2.46409
27/07/2020,22620.2,22647.5,21818.8,21859.4,nan,nan,21025,-1368.25,617.15,0,1,0.185504
24/07/2020,22850,22901,22321,22611.3,nan,nan,21025,-1368.25,604.5,1,1,1.28387
23/07/2020,22765.4,23140,22703.5,23095.2,nan,nan,21025,-1368.25,593.3,0,1,1.69624
22/07/2020,23125,23148.5,22573.7,22803.8,23148.5,23118.2,21025,-1368.25,612.05,0,1,1.00904
21/07/2020,22620,22899.7,22512,22815.8,nan,23118.2,nan,-25,643,0,1,1.33132
20/07/2020,22231,22474,22122.4,22287.3,nan,23118.2,nan,-25,649.3,0,1,0.759922
17/07/2020,21459.5,22081,21459.5,21971.1,nan,23118.2,nan,-25,665.05,1,1,2.32874
16/07/2020,21400,21647.5,21025,21571.3,21025,23118.2,nan,-25,665.85,0,1,2.5323
15/07/2020,21645.2,21940,21212.1,21321,nan,23118.2,nan,-25,684.65,0,1,0.510531
14/07/2020,21942.5,21944,21212.9,21396.5,nan,23118.2,21750,-25,683.4,0,1,0.858084
13/07/2020,22625,22664.4,22028,22174.5,nan,nan,21750,-2220,695.3,0,1,0.660893
10/07/2020,22755.7,22820,22325.4,22435.9,nan,nan,21750,-2220,711.95,1,1,0.492292
9/07/2020,22719.2,22980,22650,22908.1,nan,nan,21750,-2220,741.45,1,1,1.12668
